	confidence	interrupted	prediction	amicus	correct	minVotes	winner	caseName	majVotes
06-989	0.7596899224806202	Res	Pet	No	0	3	Res	HALL STREET ASSOCIATES, L.L.C. v. MATTEL, INC	6
07-1015	0.7596899224806202	Res	Pet	No	1	4	Pet	JOHN D. ASHCROFT, FORMER ATTORNEY GENERAL, et al. v. JAVAID IQBAL et al.	5
07-10374	0.7596899224806202	Res	Pet	No	1	4	Pet	KEITH HAYWOOD v. CURTIS DROWN, et al.	5
07-10441	0.5728155339805825	Pet	Pet	No	1	4	Pet	JOHNNIE CORLEY v. UNITED STATES	5
07-1059	0.8245614035087719	Res	Pet	Pet	1	0	Pet	UNITED STATES v. EURODIF S. A. et al.	9
07-1090	0.8245614035087719	Res	Pet	Pet	1	0	Pet	REPUBLIC OF IRAQ v. JORDAN BEATY et al.	9
07-1114	0.7596899224806202	Res	Pet	No	1	2	Pet	GARY BRADFORD CONE v. RICKY BELL, WARDEN	7
07-11191	0.34285714285714286	Pet	Res	Res	0	0	Pet	MARK A. BRISCOE AND SHELDON A. CYPRESS v. VIRGINIA	9
07-1122	0.8245614035087719	Res	Pet	Pet	1	0	Pet	ARIZONA v. LEMON MONTREA JOHNSON	9
07-1125	0.5728155339805825	Pet	Pet	No	1	0	Pet	LISA FITZGERALD, et vir v. BARNSTABLE SCHOOL COMMITTEE et al.	9
07-1209	0.8333333333333334	Tie	Pet	Res	1	3	Pet	ERIC K. SHINSEKI, SECRETARY OF VETERANS AFFAIRS v. WOODROW F. SANDERS	6
07-1216	0.7596899224806202	Res	Pet	No	0	0	Res	PHILIP MORRIS USA INC. v. MAYOLA WILLIAMS, PERSONAL REPRESENTATIVE OF THE ESTATE OF JESSE D. WILLIAMS, DECEASED	9
07-1223	0.7596899224806202	Res	Pet	No	0	0	Res	EDWARD NATHANIEL BELL v. LORETTA K. KELLY, WARDEN	9
07-1239	0.5728155339805825	Pet	Pet	No	1	4	Pet	DONALD C. WINTER, SECRETARY OF THE NAV., et al. v. NATURAL RESOURCES DEFENSE COUNCIL, INC., et al.	5
07-1309	0.7596899224806202	Res	Pet	No	0	2	Res	EDMUND BOYLE v. UNITED STATES	7
07-1315	0.7596899224806202	Res	Pet	No	1	0	Pet	MICHAEL A. KNOWLES, WARDEN v. ALEXANDRE MIRZAYANCE	9
07-1356	0.7419354838709677	Pet	Pet	Pet	1	2	Pet	KANSAS v. DONNIE RAY VENTRIS	7
07-1372	0.8245614035087719	Res	Pet	Pet	1	0	Pet	HAWAII et al. v. OFFICE OF HAWAIIAN AFFAIRS et al.	9
07-1410	0.7596899224806202	Res	Pet	No	1	0	Pet	UNITED STATES v. NAVAJO NATION	9
07-1428	0.7419354838709677	Pet	Pet	Pet	1	4	Pet	FRANK RICCI, et al. v. JOHN DESTEFANO et al.	5
07-1437	0.6666666666666666	Tie	Pet	No	1	0	Pet	CARLSBAD TECHNOLOGY, INC. v. HIF BIO, INC., et al.	9
07-1529	0.5728155339805825	Pet	Pet	No	0	4	Res	JESSE JAY MONTEJO v. LOUISIANA	5
07-1601	0.8245614035087719	Res	Pet	Pet	1	1	Pet	BURLINGTON NORTHERN AND SANTA FE RAILWAY COMPANY, et al. v. UNITED STATES et al.	8
07-208	0.8245614035087719	Res	Pet	Pet	1	2	Pet	INDIANA v. EDWARDS	7
07-21	0.34285714285714286	Pet	Res	Res	1	3	Res	WILLIAM CRAWFORD, et al., Petitioners v. MARION COUNTY ELECTION BOARD et al.	6
07-210	0.5728155339805825	Pet	Pet	No	0	0	Res	JOHN BRIDGE, et al. v. PHOENIX BOND & INDEMNITY CO. ET AL	9
07-214	0.34285714285714286	Pet	Res	Res	0	0	Pet	ALLISON ENGINE COMPANY, INC., et al. v. UNITED STATES ex rel. ROGER L. SANDERS AND ROGER L. THACKER	9
07-219	0.5728155339805825	Pet	Pet	No	1	3	Pet	EXXON SHIPPING CO. v. BAKER	5
07-290	0.5	Res	Res	Res	1	4	Res	DISTRICT OF COLUMBIA v. HELLER	5
07-308	0.7596899224806202	Res	Pet	No	1	0	Pet	UNITED STATES v. CLINTWOOD ELKHORN MINING COMPANY ET AL	9
07-312	0.5728155339805825	Pet	Pet	No	1	2	Pet	FLA. DEP'T OF REVENUE v. PICCADILLY CAFETERIAS, INC.	7
07-320	0.5728155339805825	Pet	Pet	No	1	4	Pet	DAVIS v. FEC	5
07-330	0.7419354838709677	Pet	Pet	Pet	1	3	Pet	GREENLAW v. UNITED STATES	6
07-343	0.34285714285714286	Pet	Res	Res	0	4	Pet	KENNEDY v. LOUISIANA	5
07-371	0.8333333333333334	Tie	Pet	Res	1	0	Pet	TAYLOR v. STURGELL	9
07-411	0.5	Res	Res	Res	0	4	Pet	PLAINS COMMERCE BANK v. LONG FAMILY LAND & CATTLE CO.	5
07-440	0.5728155339805825	Pet	Pet	No	1	1	Pet	ROTHGERY v. GILLESPIE COUNTY	8
07-455	0.7596899224806202	Res	Pet	No	1	1	Pet	UNITED STATES v. AHMED RESSAM	8
07-463	0.5728155339805825	Pet	Pet	No	1	4	Pet	PRISCILLA SUMMERS et al. v. EARTH ISLAND INSTITUTE et al.	5
07-474	0.34285714285714286	Pet	Res	Res	1	3	Res	ANUP ENGQUIST v. OREGON DEPARTMENT OF AGRICULTURE, ET AL	6
07-499	0.5728155339805825	Pet	Pet	No	1	1	Pet	DANIEL GIRMAI NEGUSIE v. ERIC H. HOLDER, JR., ATTORNEY GENERAL	8
07-512	0.7596899224806202	Res	Pet	No	1	0	Pet	PACIFIC BELL TELEPHONE COMPANY, DBA AT&T CALIFORNIA et al. v. LINKLINE COMMUNICATIONS, INC., et al.	9
07-513	0.5728155339805825	Pet	Pet	No	0	4	Res	BENNIE DEAN HERRING v. UNITED STATES	5
07-526	0.7596899224806202	Res	Pet	No	1	3	Pet	DONALD L. CARCIERI, GOVERNOR OF RHODE ISLAND, et al. v. KEN L. SALAZAR, SECRETARY OF THE INTERIOR, et al.	6
07-542	0.7419354838709677	Pet	Pet	Pet	0	4	Res	ARIZONA v. RODNEY JOSEPH GANT	5
07-543	0.8245614035087719	Res	Pet	Pet	1	2	Pet	AT&T CORPORATION v. NOREEN HULTEEN et al.	7
07-5439	0.5	Res	Res	Res	1	2	Res	RALPH BAZE AND THOMAS C. BOWLING v. JOHN D. REES, COMMISSIONER, KENTUCKY DEPARTMENT OF CORRECTIONS, ET AL	7
07-544	0.7419354838709677	Pet	Pet	Pet	1	3	Pet	ANTHONY HEDGPETH, WARDEN v. MICHAEL ROBERT PULIDO	6
07-552	0.7596899224806202	Res	Pet	No	0	4	Res	SPRINT COMMUNS. CO., L.P. v. APCC SERVS.	5
07-562	0.5	Res	Res	Res	1	4	Res	ALTRIA GROUP, INC., et al. v. STEPHANIE GOOD et al.	5
07-581	0.5	Res	Res	Res	0	4	Pet	14 PENN PLAZA LLC et al. v. STEVEN PYETT et al.	5
07-582	0.7596899224806202	Res	Pet	No	1	4	Pet	FEDERAL COMMUNICATIONS COMMISSION, et al. v. FOX TELEVISION STATIONS, INC., et al.	5
07-588	0.8245614035087719	Res	Pet	Pet	1	4	Pet	ENTERGY CORPORATION v. RIVERKEEPER, INC., et al.	5
07-591	0.5	Res	Res	Res	0	4	Pet	LUIS E. MELENDEZ-DIAZ v. MASSACHUSETTS	5
07-6053	0.5728155339805825	Pet	Pet	No	1	3	Pet	GILES v. CALIFORNIA	6
07-608	0.5728155339805825	Pet	Pet	No	1	2	Pet	UNITED STATES v. RANDY EDWARD HAYES	7
07-610	0.7596899224806202	Res	Pet	No	0	0	Res	DANIEL B. LOCKE, et al. v. EDWARD A. KARASS, STATE CONTROLLER, et al.	9
07-615	0.5	Res	Res	Res	0	3	Pet	MINISTRY OF DEFENSE AND SUPPORT FOR THE ARMED FORCES OF THE ISLAMIC REPUBLIC OF IRAN v. DARIUSH ELAHI	6
07-636	0.5	Res	Res	Res	1	0	Res	KARI E. KENNEDY, EXECUTRIX OF THE ESTATE OF WILLIAM PATRICK KENNEDY, DECEASED v. PLAN ADMINISTRATOR FOR DUPONT SAVINGS AND INVESTMENT PLAN et al.	9
07-665	0.8245614035087719	Res	Pet	Pet	1	0	Pet	PLEASANT GROVE CITY, UTAH et al. v. SUMMUM	9
07-689	0.34285714285714286	Pet	Res	Res	1	4	Res	GARY BARTLETT, EXECUTIVE DIRECTOR OF THE NORTH CAROLINA STATE BOARD OF ELECTIONS et al. v. DWIGHT STRICKLAND et al.	5
07-6984	0.7596899224806202	Res	Pet	No	1	0	Pet	CARLOS JIMENEZ v. NATHANIEL QUARTERMAN, DIRECTOR, TEXAS DEPARTMENT OF CRIMINAL JUSTICE, CORRECTIONAL INSTITUTIONS DIVISION	9
07-751	0.5	Tie	Res	Pet	0	0	Pet	CORDELL PEARSON, et al. v. AFTON CALLAHAN	9
07-77	0.8333333333333334	Tie	Pet	Res	1	2	Pet	BOB RILEY, GOVERNOR OF ALABAMA v. YVONNE KENNEDY ET AL	7
07-772	0.5728155339805825	Pet	Pet	No	1	3	Pet	DOUG WADDINGTON, SUPERINTENDENT, WASHINGTON CORRECTIONS CENTER v. CESAR SARAUSAD	6
07-773	0.7596899224806202	Res	Pet	No	1	4	Pet	BETTY E. VADEN v. DISCOVER BANK et al.	5
07-8521	0.5728155339805825	Pet	Pet	No	1	2	Pet	EDWARD JEROME HARBISON v. RICKY BELL, WARDEN	7
07-854	0.8245614035087719	Res	Pet	Pet	1	0	Pet	JOHN VAN DE KAMP, et al. v. THOMAS LEE GOLDSTEIN	9
07-869	0.7596899224806202	Res	Pet	No	1	3	Pet	BEN YSURSA, IDAHO SECRETARY OF STATE, et al. v. POCATELLO EDUCATION ASSOCIATION et al.	6
07-901	0.7596899224806202	Res	Pet	No	1	4	Pet	OREGON v. THOMAS EUGENE ICE	5
07-9712	0.5728155339805825	Pet	Pet	No	0	2	Res	JAMES BENJAMIN PUCKETT v. UNITED STATES	7
07-984	0.8245614035087719	Res	Pet	Pet	1	3	Pet	COEUR ALASKA, INC. v. SOUTHEAST ALASKA CONSERVATION COUNCIL et al.	6
07-9995	0.34285714285714286	Pet	Res	Res	1	0	Res	MICHAEL RIVERA v. ILLINOIS	9
08-1008	0.5728155339805825	Pet	Pet	No	1	4	Pet	SHADY GROVE ORTHOPEDIC ASSOCIATES, P. A. v. ALLSTATE INSURANCE COMPANY	5
08-103	0.7419354838709677	Pet	Pet	Pet	1	0	Pet	REED ELSEVIER, INC., et al., v. IRVIN MUCHNICK et al.	8
08-1065	0.8245614035087719	Res	Pet	Pet	0	0	Res	POTTAWATTAMIE COUNTY, IOWA, et al., PETITIONERS v. CURTIS W. MCGHEE, JR., et al.	9
08-108	0.6666666666666666	Tie	Pet	No	1	0	Pet	IGNACIO CARLOS FLORES-FIGUEROA v. UNITED STATES	9
08-1107	0.5728155339805825	Pet	Pet	No	1	0	Pet	THE HERTZ CORPORATION v. MELINDA FRIEND et al.	9
08-1119	0.5728155339805825	Pet	Pet	No	1	0	Pet	MILAVETZ, GALLOP & MILAVETZ, P. A., et al. v. UNITED STATES	9
08-1134	0.8245614035087719	Res	Pet	Pet	0	0	Res	UNITED STUDENT AID FUNDS, INC. v. FRANCISCO J. ESPINOSA	9
08-1175	0.7419354838709677	Pet	Pet	Pet	1	2	Pet	FLORIDA v. KEVIN DEWAYNE POWELL	7
08-1191	0.34285714285714286	Pet	Res	Res	1	0	Res	ROBERT MORRISON, et al. v. NATIONAL AUSTRALIA BANK LTD. et al.	8
08-1198	0.5728155339805825	Pet	Pet	No	1	3	Pet	STOLT-NIELSEN S. A., et al. v. ANIMALFEEDS INTERNATIONAL CORP.	5
08-1200	0.8245614035087719	Res	Pet	Pet	1	2	Pet	KAREN L. JERMAN v. CARLISLE, MCNELLIE, RINI, KRAMER & ULRICH LPA, et al.	7
08-1214	0.5	Res	Res	Res	0	2	Pet	GRANITE ROCK COMPANY v. INTERNATIONAL BROTHERHOOD OF TEAMSTERS et al.	7
08-1224	0.7596899224806202	Res	Pet	No	1	2	Pet	UNITED STATES v. GRAYDON EARL COMSTOCK, JR., et al.	7
08-1301	0.7596899224806202	Res	Pet	No	1	3	Pet	THOMAS CARR v. UNITED STATES	6
08-1314	0.8245614035087719	Res	Pet	Pet	1	0	Pet	DELBERT WILLIAMSON, et al., PETITIONERS v. MAZDA MOTOR OF AMERICA, INC., et al.	8
08-1322	0.5728155339805825	Pet	Pet	No	1	0	Pet	MICHAEL J. ASTRUE, COMMISSIONER OF SOCIAL SECURITY v. CATHERINE G. RATLIFF	9
08-1332	0.8245614035087719	Res	Pet	Pet	1	0	Pet	CITY OF ONTARIO, CALIFORNIA, et al. v. JEFF QUON et al.	9
08-1341	0.7596899224806202	Res	Pet	No	1	1	Pet	UNITED STATES v. GLENN MARCUS	7
08-1371	0.7596899224806202	Res	Pet	No	0	4	Res	CHRISTIAN LEGAL SOCIETY CHAPTER OF THE UNIVERSITY OF CALIFORNIA, HASTINGS COLLEGE OF THE LAW, AKA HASTINGS CHRISTIAN FELLOWSHIP v. LEO P. MARTINEZ et al.	5
08-1394	0.7596899224806202	Res	Pet	No	1	0	Pet	JEFFREY K. SKILLING v. UNITED STATES	9
08-1402	0.7596899224806202	Res	Pet	No	1	0	Pet	MARY BERGHUIS, WARDEN v. DIAPOLIS SMITH	9
08-1423	0.34285714285714286	Pet	Res	Res	1	4	Res	COSTCO WHOLESALE CORPORATION, PETITIONER  v. OMEGA, S.A.	4
08-1438	0.7419354838709677	Pet	Pet	Pet	0	2	Res	HARVEY LEROY SOSSAMON, III, PETITIONER v. TEXAS et al.	6
08-1448	0.5728155339805825	Pet	Pet	No	0	2	Res	EDMUND G. BROWN, JR., GOVERNOR OF CALIFORNIA, et al., PETITIONERS v. ENTERTAINMENT MERCHANTS ASSOCIATION, et al.	7
08-1457	0.7596899224806202	Res	Pet	No	1	4	Pet	NEW PROCESS STEEL, L. P. v. NATIONAL LABOR RELATIONS BOARD	5
08-146	0.5728155339805825	Pet	Pet	No	1	3	Pet	ARTHUR ANDERSEN LLP, et al. v. WAYNE CARLISLE et al.	6
08-1470	0.7419354838709677	Pet	Pet	Pet	1	4	Pet	MARY BERGHUIS, WARDEN v. VAN CHESTER THOMPKINS	5
08-1498	0.5728155339805825	Pet	Pet	No	1	3	Pet	ERIC H. HOLDER, JR., ATTORNEY GENERAL, et al. v. HUMANITARIAN LAW PROJECT et al.	6
08-1521	0.8245614035087719	Res	Pet	Pet	1	4	Pet	OTIS MCDONALD, et al. v. CITY OF CHICAGO, ILLINOIS, et al.	5
08-1529	0.8245614035087719	Res	Pet	Pet	1	0	Pet	ESTHER HUI, et al. v. YANIRA CASTANEDA, AS PERSONAL REPRESENTATIVE OF THE ESTATE OF FRANCISCO CASTANEDA, et al.	9
08-1553	0.7419354838709677	Pet	Pet	Pet	1	3	Pet	KAWASAKI KISEN KAISHA LTD. et al. v. REGAL-BELOIT CORP. et al.	6
08-1555	0.5	Res	Res	Res	1	0	Res	MOHAMED ALI SAMANTAR v. BASHE ABDI YOUSUF et al.	9
08-1569	0.5728155339805825	Pet	Pet	No	0	0	Res	UNITED STATES v. MARTIN O'BRIEN AND ARTHUR BURGESS	9
08-192	0.7596899224806202	Res	Pet	No	1	0	Pet	SALMAN KHADE ABUELHAWA v. UNITED STATES	9
08-205	0.6666666666666666	Tie	Pet	No	1	4	Pet	CITIZENS UNITED v. FEDERAL ELECTION COMMISSION	5
08-214	0.7596899224806202	Res	Pet	No	0	4	Res	ATLANTIC SOUNDING CO., INC., et al. v. EDGAR L. TOWNSEND	5
08-22	0.5728155339805825	Pet	Pet	No	1	4	Pet	HUGH M. CAPERTON, et al. v. A. T. MASSEY COAL COMPANY, INC., et al.	5
08-240	0.5	Res	Res	Res	1	0	Res	MAC'S SHELL SERVICE, INC., et al. v. SHELL OIL PRODUCTS CO. LLC et al.	9
08-267	0.7596899224806202	Res	Pet	No	0	4	Res	UNITED STATES v. JACOB DENEDO	5
08-289	0.5	Res	Res	Res	0	4	Pet	THOMAS C. HORNE, SUPERINTENDENT, ARIZONA PUBLIC INSTRUCTION v. MIRIAM FLORES et al.	5
08-295	0.5	Res	Res	Res	0	2	Pet	THE TRAVELERS INDEMNITY COMPANY, et al. v. PEARLIE BAILEY et al.	7
08-304	0.5	Res	Res	Res	0	2	Pet	GRAHAM COUNTY SOIL AND WATER CONSERVATION DISTRICT, et al. v. UNITED STATES ex rel. KAREN T. WILSON	7
08-305	0.5	Res	Res	Res	1	3	Res	FOREST GROVE SCHOOL DISTRICT v. T. A.	6
08-310	0.5728155339805825	Pet	Pet	No	1	2	Pet	POLAR TANKERS, INC. v. CITY OF VALDEZ, ALASKA	7
08-322	0.34285714285714286	Pet	Res	Res	0	1	Pet	NORTHWEST AUSTIN MUNICIPAL UTILITY DISTRICT NUMBER ONE v. ERIC H. HOLDER, JR., ATTORNEY GENERAL, et al.	8
08-351	0.7419354838709677	Pet	Pet	Pet	1	1	Pet	ANITA ALVAREZ, COOK COUNTY STATE'S ATTORNEY v. CHERMANE SMITH et al.	8
08-441	0.7419354838709677	Pet	Pet	Pet	0	4	Res	JACK GROSS v. FBL FINANCIAL SERVICES, INC.	5
08-453	0.5	Res	Res	Res	0	4	Pet	ANDREW M. CUOMO, ATTORNEY GENERAL OF NEW YORK v. THE CLEARING HOUSE ASSOCIATION, L. L. C., et al.	5
08-472	0.7596899224806202	Res	Pet	No	1	4	Pet	KEN L. SALAZAR, SECRETARY OF THE INTERIOR, et al. v. FRANK BUONO	5
08-479	0.7419354838709677	Pet	Pet	Pet	1	1	Pet	SAFFORD UNIFIED SCHOOL DISTRICT #1, et al.v. APRIL REDDING	8
08-495	0.7596899224806202	Res	Pet	No	0	0	Res	MANOJ NIJHAWAN v. ERIC H. HOLDER, JR., ATTORNEY GENERAL	9
08-5274	0.7596899224806202	Res	Pet	No	0	2	Res	CHRISTOPHER MICHAEL DEAN v. UNITED STATES	7
08-538	0.7419354838709677	Pet	Pet	Pet	1	3	Pet	WILLIAM G. SCHWAB v. NADEJDA REILLY	6
08-586	0.8245614035087719	Res	Pet	Pet	1	0	Pet	JERRY N. JONES, et al. v. HARRIS ASSOCIATES L. P.	9
08-598	0.7596899224806202	Res	Pet	No	1	0	Pet	DAVID BOBBY, WARDEN v. MICHAEL BIES	9
08-6	0.7419354838709677	Pet	Pet	Pet	1	4	Pet	DISTRICT ATTORNEY'S OFFICE FOR THE THIRD JUDICIAL DISTRICT, et al. v. WILLIAM G. OSBORNE	5
08-604	0.5728155339805825	Pet	Pet	No	0	0	Res	UNION PACIFIC RAILROAD COMPANY v. BROTHERHOOD OF LOCOMOTIVE ENGINEERS AND TRAINMEN GENERAL COMMITTEE OF ADJUSTMENT, CENTRAL REGION	9
08-6261	0.5	Res	Res	Res	1	4	Res	JOHN ROBERTSON v. UNITED STATES ex rel. WYKENNA WATSON	5
08-645	0.8245614035087719	Res	Pet	Pet	1	3	Pet	TIMOTHY MARK CAMERON ABBOTT v. JACQUELYN VAYE ABBOTT	6
08-651	0.5	Res	Res	Res	0	2	Pet	JOSE PADILLA v. KENTUCKY	7
08-660	0.5	Res	Res	Res	1	0	Res	UNITED STATES ex rel. IRWIN EISENSTEIN v. CITY OF NEW YORK, NEW YORK, et al.	9
08-661	0.5728155339805825	Pet	Pet	No	1	0	Pet	AMERICAN NEEDLE, INC. v. NATIONAL FOOTBALL LEAGUE et al.	9
08-67	0.7596899224806202	Res	Pet	No	1	3	Pet	F. SCOTT YEAGER v. UNITED STATES	6
08-674	0.7419354838709677	Pet	Pet	Pet	1	1	Pet	NRG POWER MARKETING, LLC, et al. v. MAINE PUBLIC UTILITIES COMMISSION et al.	8
08-678	0.5	Res	Res	Res	1	0	Res	MOHAWK INDUSTRIES, INC. v. NORMAN CARPENTER	9
08-680	0.7419354838709677	Pet	Pet	Pet	1	0	Pet	MARYLAND v. MICHAEL BLAINE SHATZER, SR.	9
08-681	0.5728155339805825	Pet	Pet	No	1	2	Pet	JEAN MARC NKEN v. ERIC H. HOLDER, JR., ATTORNEY GENERAL	7
08-6925	0.7596899224806202	Res	Pet	No	1	2	Pet	CURTIS DARNELL JOHNSON v. UNITED STATES	7
08-724	0.7596899224806202	Res	Pet	No	1	0	Pet	KEITH SMITH, WARDEN v. FRANK G. SPISAK, JR.	9
08-728	0.5728155339805825	Pet	Pet	No	1	2	Pet	TAYLOR JAMES BLOATE v. UNITED STATES	7
08-7412	0.7596899224806202	Res	Pet	No	1	3	Pet	TERRANCE JAMAR GRAHAM v. FLORIDA	6
08-7621	0.6666666666666666	Tie	Pet	No	0	0	Res	JOE HARRIS SULLIVAN v. FLORIDA	9
08-769	0.5728155339805825	Pet	Pet	No	0	1	Res	UNITED STATES v. ROBERT J. STEVENS	8
08-810	0.34285714285714286	Pet	Res	Res	0	3	Pet	SALLY L. CONKRIGHT, et al. v. PAUL J. FROMMERT et al.	5
