	confidence	interrupted	prediction	amicus	correct	minVotes	winner	caseName	majVotes
04-1581	0.7528735632183908	Res	Pet	No	1	0	Pet	WISCONSIN RIGHT TO LIFE, INC. v. FEDERAL ELECTION COMMISSION	9
04-1618	0.8314606741573034	Res	Pet	Pet	1	0	Pet	NORTHERN INSURANCE COMPANY OF NEW YORK v. CHATHAM COUNTY, GEORGIA	9
04-1704	0.75	Pet	Pet	Pet	1	0	Pet	DAIMLERCHRYSLER CORPORATION v. CHARLOTTE CUNO et al.	9
04-1739	0.8314606741573034	Res	Pet	Pet	1	2	Pet	JEFFREY A. BEARD, SECRETARY, PENNSYLVANIA DEPARTMENT OF CORRECTIONS v. RONALD BANKS, INDIVIDUALLY AND ON BEHALF OF ALL OTHERS SIMILARLY SITUATED	6
04-373	0.75	Pet	Pet	Pet	0	0	Res	MARYLAND v. LEEANDER JEROME BLAKE	9
04-433	0.7528735632183908	Res	Pet	No	1	0	Pet	JOSEPH ANZA, et al. v. IDEAL STEEL SUPPLY CORP.	9
04-473	0.8314606741573034	Res	Pet	Pet	1	4	Pet	GIL GARCETTI, et al. v. RICHARD CEBALLOS	5
04-52	0.7528735632183908	Res	Pet	No	1	0	Pet	BERTRAM RICE, WARDEN, et al. v. STEVEN MARTELL COLLINS	9
04-593	0.7528735632183908	Res	Pet	No	1	0	Pet	DOMINO'S PIZZA, INC., et al. v. JOHN MCDONALD	8
04-597	0.8314606741573034	Res	Pet	Pet	1	2	Pet	UNITHERM FOOD SYSTEMS, INC. v. SWIFT-ECKRICH, INC., DBA CONAGRA REFRIGERATED FOODS	7
04-607	0.75	Pet	Pet	Pet	0	3	Res	LABORATORY CORPORATION OF AMERICA HOLDINGS, DBA LABCORP v. METABOLITE LABORATORIES, INC., et al.	5
04-623	0.6030534351145038	Pet	Pet	No	0	3	Res	ALBERTO R. GONZALES, ATTORNEY GENERAL, et al. v. OREGON, et al.	6
04-631	0.5060240963855421	Res	Pet	Res	1	2	Pet	JOAN WAGNON, SECRETARY, KANSAS DEPARTMENT OF REVENUE v. PRAIRIE BAND POTAWATOMI NATION	7
04-698	0.5060240963855421	Res	Pet	Res	0	2	Res	SCHAFFER, A MINOR, BY HIS PARENTS AND NEXT FRIENDS, SCHAFFER, ET VIR, et al. v. WEAST, SUPERINTENDENT, MONTGOMERY COUNTY PUBLIC SCHOOLS, et al.	6
04-712	0.7528735632183908	Res	Pet	No	1	0	Pet	LINCOLN PROPERTY COMPANY, et al. v. CHRISTOPHE ROCHE, ET UX.	9
04-721	0.6030534351145038	Pet	Pet	No	1	0	Pet	MIKE EVANS, ACTING WARDEN v. REGINALD CHAVIS	9
04-759	0.6030534351145038	Pet	Pet	No	1	0	Pet	UNITED STATES v. JOSEPH OLSON, et al.	9
04-805	0.8314606741573034	Res	Pet	Pet	1	0	Pet	TEXACO INC. v. FOUAD N. DAGHER, et al.	8
04-848	0.7528735632183908	Res	Pet	No	1	1	Pet	BARBARA DOLAN v. UNITED STATES POSTAL SERVICE et al.	7
04-881	0.6030534351145038	Pet	Pet	No	0	0	Res	JAMES LOCKHART v. UNITED STATES et al.	9
04-885	0.7528735632183908	Res	Pet	No	0	4	Res	CENTRAL VIRGINIA COMMUNITY COLLEGE, et al. v. BERNARD KATZ, LIQUIDATING SUPERVISOR FOR WALLACE'S BOOKSTORES, INC.	5
04-8990	0.7528735632183908	Res	Pet	No	1	3	Pet	PAUL GREGORY HOUSE v. RICKY BELL, WARDEN	5
04-905	0.75	Pet	Pet	Pet	1	2	Pet	VOLVO TRUCKS NORTH AMERICA, INC. v. REEDER-SIMCO GMC, INC.	7
04-928	0.8314606741573034	Res	Pet	Pet	1	0	Pet	OREGON v. RANDY LEE GUZEK	8
04-944	0.8314606741573034	Res	Pet	Pet	1	0	Pet	JENIFER ARBAUGH v. Y & H CORPORATION, DBA THE MOONLIGHT CAFE	8
04-9728	0.2765957446808511	Pet	Res	Res	1	3	Res	DONALD CURTIS SAMSON v. CALIFORNIA	6
04-980	0.6030534351145038	Pet	Pet	No	1	4	Pet	JILL L. BROWN, WARDEN v. RONALD L. SANDERS	5
05-1056	0.75	Pet	Pet	Pet	1	1	Pet	MICROSOFT CORPORATION v. AT&T CORP.	7
05-1074	0.2765957446808511	Pet	Res	Res	1	4	Res	LILLY M. LEDBETTER v. THE GOODYEAR TIRE & RUBBER COMPANY, INC.	5
05-1120	0.7528735632183908	Res	Pet	No	1	4	Pet	MASSACHUSETTS, et al. v. ENVIRONMENTAL PROTECTION AGENCY et al.	5
05-1126	0.75	Pet	Pet	Pet	1	2	Pet	BELL ATLANTIC CORPORATION, et al. V.WILLIAM TWOMBLY, et al.	7
05-11284	0.6030534351145038	Pet	Pet	No	1	4	Pet	JALIL ABDUL-KABIR, FKA TED CALVIN COLE v. NATHANIEL QUARTERMAN, DIRECTOR, TEXAS DEPARTMENT OF CRIMINAL JUSTICE, CORRECTIONAL INSTITUTIONS DIVISION	5
05-11304	0.5060240963855421	Res	Pet	Res	1	4	Pet	LAROYCE LATHAIR SMITH v. TEXAS	5
05-1157	0.75	Pet	Pet	Pet	1	1	Pet	CREDIT SUISSE SECURITIES (USA) LLC, FKA CREDIT SUISSE FIRST BOSTON LLC, et al. v. GLEN BILLING et al.	7
05-1240	0.6030534351145038	Pet	Pet	No	0	2	Res	ANDRE WALLACE v. KRISTEN KATO et al.	7
05-1256	0.6030534351145038	Pet	Pet	No	1	4	Pet	PHILIP MORRIS USA v. MAYOLA WILLIAMS, PERSONAL REPRESENTATIVE OF THE ESTATE OF JESSE D. WILLIAMS, DECEASED	5
05-1272	0.6030534351145038	Pet	Pet	No	1	2	Pet	ROCKWELL INTERNATIONAL CORP., et al. v. UNITED STATES et al.	6
05-128	0.7528735632183908	Res	Pet	No	1	3	Pet	HOWARD DELIVERY SERVICE, INC., et al. v. ZURICH AMERICAN INSURANCE CO.	6
05-1284	0.75	Pet	Pet	Pet	1	0	Pet	LISA WATSON, et al. v. PHILIP MORRIS COMPANIES, INC., et al.	9
05-130	0.5060240963855421	Res	Pet	Res	1	0	Pet	EBAY INC., et al. v. MERCEXCHANGE, L. L. C.	9
05-1342	0.5060240963855421	Res	Pet	Res	0	3	Res	LINDA A. WATTERS, COMMISSIONER, MICHIGAN OFFICE OF INSURANCE AND FINANCIAL SERVICES v. WACHOVIA BANK, N. A., et al.	5
05-1345	0.5060240963855421	Res	Pet	Res	0	3	Res	UNITED HAULERS ASSOCIATION, INC., et al. v. ONEIDA-HERKIMER SOLID WASTE MANAGEMENT AUTHORITY, et al.	6
05-1429	0.7528735632183908	Res	Pet	No	1	0	Pet	TRAVELERS CASUALTY & SURETY COMPANY OF AMERICA v. PACIFIC GAS AND ELECTRIC COMPANY	9
05-1448	0.75	Pet	Pet	Pet	1	0	Pet	JEFFREY H. BECK, LIQUIDATING TRUSTEE OF THE ESTATES OF CROWN VANTAGE, INC. AND CROWN PAPER COMPANY v. PACE INTERNATIONAL UNION et al.	9
05-1508	0.5060240963855421	Res	Pet	Res	0	4	Res	ZUNI PUBLIC SCHOOL DISTRICT NO. 89, et al. v. DEPARTMENT OF EDUCATION, et al.	5
05-1541	0.7528735632183908	Res	Pet	No	0	0	Res	EC TERM OF YEARS TRUST v. UNITED STATES	9
05-1575	0.6030534351145038	Pet	Pet	No	1	4	Pet	DORA B. SCHRIRO, DIRECTOR, ARIZONA DEPARTMENT OF CORRECTIONS v. JEFFREY TIMOTHY LANDRIGAN, AKA BILLY PATRICK WAYNE HILL	5
05-1589	0.8314606741573034	Res	Pet	Pet	1	0	Pet	GARY DAVENPORT, et al. v. WASHINGTON EDUCATION ASSOCIATION	9
05-1629	0.7528735632183908	Res	Pet	No	1	0	Pet	ALBERTO R. GONZALES, ATTORNEY GENERAL v. LUIS ALEXANDER DUENAS-ALVAREZ	9
05-1631	0.8314606741573034	Res	Pet	Pet	1	1	Pet	TIMOTHY SCOTT v. VICTOR HARRIS	8
05-18	0.8314606741573034	Res	Pet	Pet	1	3	Pet	ARLINGTON CENTRAL SCHOOL DISTRICT BOARD OF EDUCATION v. PEARL MURPHY ET VIR	6
05-184	0.7528735632183908	Res	Pet	No	1	3	Pet	SALIM AHMED HAMDAN v. DONALD H. RUMSFELD, SECRETARY OF DEFENSE, et al.	5
05-200	0.75	Pet	Pet	Pet	0	4	Res	EMPIRE HEALTHCHOICE ASSURANCE, INC., DBA EMPIRE BLUE CROSS BLUE SHIELD v. DENISE F. MCVEIGH, AS ADMINISTRATRIX OF THE ESTATE OF JOSEPH E. MCVEIGH	5
05-204	0.6030534351145038	Pet	Pet	No	1	4	Pet	LEAGUE OF UNITED LATIN AMERICAN CITIZENS, et al. v. RICK PERRY, GOVERNOR OF TEXAS, et al.	5
05-259	0.5060240963855421	Res	Pet	Res	0	0	Res	BURLINGTON NORTHERN & SANTA FE RAILWAY COMPANY v. SHEILA WHITE	9
05-260	0.2765957446808511	Pet	Res	Res	1	0	Res	JOEL SEREBOFF, ET UX. v. MID ATLANTIC MEDICAL SERVICES, INC.	9
05-352	0.6030534351145038	Pet	Pet	No	0	4	Res	UNITED STATES v. CUAUHTEMOC GONZALEZ-LOPEZ	5
05-380	0.6030534351145038	Pet	Pet	No	1	4	Pet	ALBERTO R. GONZALES, ATTORNEY GENERAL v. LEROY CARHART, et al.	5
05-381	0.8314606741573034	Res	Pet	Pet	1	0	Pet	WEYERHAEUSER COMPANY V.ROSS-SIMMONS HARDWOOD LUMBER COMPANY, INC.	9
05-409	0.7528735632183908	Res	Pet	No	1	0	Pet	CARL KIRCHER, et al. v. PUTNAM FUNDS TRUST et al.	9
05-416	0.75	Pet	Pet	Pet	1	3	Pet	JEANNE S. WOODFORD, et al. v. VIET MIKE NGO	6
05-465	0.5060240963855421	Res	Pet	Res	1	0	Pet	MOHAWK INDUSTRIES, INC. v. SHIRLEY WILLIAMS et al.	9
05-493	0.7528735632183908	Res	Pet	No	1	4	Pet	ROBERT L. AYERS, JR., ACTING WARDEN v. FERNANDO BELMONTES	5
05-502	0.75	Pet	Pet	Pet	1	0	Pet	BRIGHAM CITY, UTAH v. CHARLES W. STUART et al.	8
05-5224	0.5060240963855421	Res	Pet	Res	0	0	Res	ADRIAN MARTELL DAVIS v. WASHINGTON	9
05-547	0.8314606741573034	Res	Pet	Pet	1	1	Pet	JOSE ANTONIO LOPEZ v. ALBERTO R. GONZALES, ATTORNEY GENERAL	8
05-593	0.7528735632183908	Res	Pet	No	0	2	Res	PAT OSBORN v. BARRY HALEY, et al.	7
05-595	0.2765957446808511	Pet	Res	Res	0	0	Pet	GLEN WHORTON, DIRECTOR, NEVADA DEPARTMENT OF CORRECTIONS v. MARVIN HOWARD BOCKTING	9
05-5966	0.2765957446808511	Pet	Res	Res	1	4	Res	ERIC MICHAEL CLARK v. ARIZONA	5
05-5992	0.7528735632183908	Res	Pet	No	1	0	Pet	JACOB ZEDNER v. UNITED STATES	9
05-6551	0.6030534351145038	Pet	Pet	No	1	3	Pet	JOHN CUNNINGHAM V.CALIFORNIA	6
05-705	0.2765957446808511	Pet	Res	Res	1	2	Res	GLOBAL CROSSING TELECOMMUNICATIONS, INC. v. METROPHONES TELECOMMUNICATIONS, INC.	7
05-7053	0.7528735632183908	Res	Pet	No	0	2	Res	KESHIA CHERIE ASHFORD DIXON v. UNITED STATES	7
05-7058	0.7528735632183908	Res	Pet	No	1	0	Pet	LORENZO L. JONES V.BARBARA BOCK, WARDEN, et al.	9
05-746	0.7528735632183908	Res	Pet	No	1	0	Pet	NORFOLK SOUTHERN RAILWAY COMPANY v. TIMOTHY SORRELL	9
05-785	0.6030534351145038	Pet	Pet	No	1	0	Pet	THOMAS L. CAREY, WARDEN v. MATHEW MUSLADIN	9
05-83	0.8314606741573034	Res	Pet	Pet	1	2	Pet	WASHINGTON v. ARTURO R. RECUENCO	7
05-848	0.8314606741573034	Res	Pet	Pet	1	0	Pet	ENVIRONMENTAL DEFENSE, et al. v. DUKE ENERGY CORPORATION, et al.	9
05-85	0.75	Pet	Pet	Pet	1	2	Pet	POWEREX CORP. v. RELIANT ENERGY SERVICES, INC., et al.	7
05-8794	0.5060240963855421	Res	Pet	Res	1	0	Pet	CLARENCE E. HILL v. JAMES R. MCDONOUGH, INTERIM SECRETARY, FLORIDA DEPARTMENT OF CORRECTIONS, et al.	9
05-8820	0.6030534351145038	Pet	Pet	No	0	4	Res	GARY LAWRENCE v. FLORIDA	5
05-908	0.8314606741573034	Res	Pet	Pet	1	4	Pet	PARENTS INVOLVED IN COMMUNITY SCHOOLS v. SEATTLE SCHOOL DISTRICT NO. 1 et al.	5
05-9222	0.5060240963855421	Res	Pet	Res	0	0	Res	LONNIE LEE BURTON v. BELINDA STEWART, SUPERINTENDENT, STAFFORD CREEK CORRECTIONS CENTER	9
05-9264	0.7528735632183908	Res	Pet	No	0	4	Res	ALPHONSO JAMES, JR. v. UNITED STATES	5
05-983	0.8314606741573034	Res	Pet	Pet	1	2	Pet	JACOB WINKELMAN, A MINOR, BY AND THROUGH HIS PARENTS AND LEGAL GUARDIANS, JEFF AND SANDEE WINKELMAN, et al. v. PARMA CITY SCHOOL DISTRICT	7
05-996	0.5060240963855421	Res	Pet	Res	0	4	Res	ROBERT LOUIS MARRAMA v. CITIZENS BANK OF MASSACHUSETTS, et al.	5
05-998	0.7528735632183908	Res	Pet	No	1	1	Pet	UNITED STATES v. JUAN RESENDIZ-PONCE	8
06-1005	0.6030534351145038	Pet	Pet	No	0	4	Res	UNITED STATES v. EFRAIN SANTOS AND BENEDICTO DIAZ	5
06-10119	0.6030534351145038	Pet	Pet	No	1	2	Pet	ALLEN SNYDER v. LOUISIANA	7
06-102	0.7528735632183908	Res	Pet	No	1	0	Pet	SINOCHEM INTERNATIONAL CO., LTD. v. MALAYSIA INTERNATIONAL SHIPPING CORPORATION	9
06-1037	0.7528735632183908	Res	Pet	No	1	4	Pet	KY. RET. SYS. v. EEOC	5
06-1082	0.75	Pet	Pet	Pet	1	0	Pet	VIRGINIA v. DAVID LEE MOORE	9
06-11206	0.7528735632183908	Res	Pet	No	1	0	Pet	DEONDERY CHAMBERS v. UNITED STATES	9
06-11429	0.6030534351145038	Pet	Pet	No	0	0	Res	KEITH LAVON BURGESS v. UNITED STATES	9
06-11543	0.6030534351145038	Pet	Pet	No	1	3	Pet	LARRY BEGAY v. UNITED STATES	6
06-116	0.7528735632183908	Res	Pet	No	1	4	Pet	ALICIA G. LIMTIACO, ATTORNEY GENERAL OF GUAM v. FELIX P. CAMACHO, GOVERNOR OF GUAM	5
06-11612	0.6030534351145038	Pet	Pet	No	0	1	Res	HOMERO GONZALEZ v. UNITED STATES	8
06-1164	0.7528735632183908	Res	Pet	No	0	2	Res	JOHN R. SAND & GRAVEL COMPANY v. UNITED STATES	7
06-1181	0.7528735632183908	Res	Pet	No	1	4	Pet	DADA v. MUKASEY	5
06-1195	0.7528735632183908	Res	Pet	No	1	4	Pet	BOUMEDIENE v. BUSH	5
06-1204	0.75	Pet	Pet	Pet	1	2	Pet	PHILIPPINES v. PIMENTEL	7
06-1221	0.75	Pet	Pet	Pet	1	0	Pet	SPRINT/UNITED MANAGEMENT COMPANY v. ELLEN MENDELSOHN	9
06-1249	0.8314606741573034	Res	Pet	Pet	0	3	Res	WYETH v. DIANA LEVINE	6
06-1286	0.7528735632183908	Res	Pet	No	0	0	Res	MICHAEL J. KNIGHT, TRUSTEE OF THE WILLIAM L. RUDKIN TESTAMENTARY TRUST v. COMMISSIONER OF INTERNAL REVENUE	9
06-1287	0.8314606741573034	Res	Pet	Pet	1	0	Pet	CSX TRANSPORTATION, INC. v. GEORGIA STATE BOARD OF EQUALIZATION ET AL	9
06-1321	0.7528735632183908	Res	Pet	No	1	3	Pet	MYRNA GOMEZ-PEREZ v. JOHN E. POTTER, POSTMASTER GENERAL	6
06-1322	0.2765957446808511	Pet	Res	Res	1	2	Res	FEDERAL EXPRESS CORPORATION v. PAUL HOLOWECKI, ET AL	7
06-134	0.75	Pet	Pet	Pet	0	2	Res	THE PERMANENT MISSION OF INDIA TO THE UNITED NATIONS, et al. v. CITY OF NEW YORK, NEW YORK	7
06-1413	0.6030534351145038	Pet	Pet	No	0	0	Res	MEADWESTVACO CORPORATION, SUCCESSOR IN INTEREST TO THE MEAD CORPORATION v. ILLINOIS DEPARTMENT OF REVENUE ET AL	9
06-1431	0.2765957446808511	Pet	Res	Res	1	2	Res	CBOCS WEST, INC. v. HEDRICK G. HUMPHRIES	7
06-1456	0.6030534351145038	Pet	Pet	No	1	0	Pet	HUMBERTO FIDEL REGALADO CUELLAR v. UNITED STATES	9
06-1457	0.8314606741573034	Res	Pet	Pet	1	2	Pet	MORGAN STANLEY CAPITAL GROUP INC. v. PUBLIC UTILITY DISTRICT NO. 1 OF SNOHOMISH COUNTY, WASHINGTON, et al.	5
06-1463	0.7528735632183908	Res	Pet	No	1	1	Pet	ARNOLD M. PRESTON v. ALEX E. FERRER	8
06-1498	0.8314606741573034	Res	Pet	Pet	0	4	Res	WARNER-LAMBERT CO., LLC, et al. v. KIMBERLY KENT et al.	4
06-1505	0.75	Pet	Pet	Pet	1	1	Pet	MEACHAM v. KNOLLS ATOMIC POWER LAB.	7
06-1509	0.7528735632183908	Res	Pet	No	1	0	Pet	MICHAEL H. BOULWARE v. UNITED STATES	9
06-157	0.6030534351145038	Pet	Pet	No	1	4	Pet	JAY F. HEIN, DIRECTOR, WHITE HOUSE OFFICE OF FAITH-BASED AND COMMUNITY INITIATIVES, et al. v. FREEDOM FROM RELIGION FOUNDATION, INC., et al.	5
06-1595	0.75	Pet	Pet	Pet	1	0	Pet	VICKY S. CRAWFORD v. METROPOLITAN GOVERNMENT OF NASHVILLE AND DAVIDSON COUNTY, TENNESSEE	9
06-1646	0.7528735632183908	Res	Pet	No	1	3	Pet	UNITED STATES v. GINO RODRIQUEZ	6
06-1666	0.6030534351145038	Pet	Pet	No	0	0	Res	MUNAF v. GEREN	9
06-1717	0.7528735632183908	Res	Pet	No	1	0	Pet	RICHLIN SECURITY SERVICE COMPANY v. MICHAEL CHERTOFF, SECRETARY OF HOMELAND SECURITY	9
06-179	0.2765957446808511	Pet	Res	Res	1	1	Res	DONNA S. RIEGEL, INDIVIDUALLY AND AS ADMINISTRATOR OF THE ESTATE OF CHARLES R. RIEGEL v. MEDTRONIC, INC.	8
06-219	0.6030534351145038	Pet	Pet	No	1	2	Pet	CHARLES WILKIE, et al. v. HARVEY FRANK ROBBINS	7
06-278	0.8314606741573034	Res	Pet	Pet	1	4	Pet	DEBORAH MORSE, et al. v. JOSEPH FREDERICK	5
06-313	0.7528735632183908	Res	Pet	No	0	3	Res	DON ROPER, SUPERINTENDENT, POTOSI CORRECTIONAL CENTER v. WILLIAM WEAVER	6
06-340	0.7528735632183908	Res	Pet	No	1	4	Pet	NATIONAL ASSOCIATION OF HOME BUILDERS, et al. v. DEFENDERS OF WILDLIFE et al.	5
06-376	0.7528735632183908	Res	Pet	No	0	0	Res	JOHN F. HINCK, ET UX. v. UNITED STATES	9
06-413	0.75	Pet	Pet	Pet	1	4	Pet	JEFFREY UTTECHT, SUPERINTENDENT, WASHINGTON STATE PENITENTIARY v. CAL COBURN BROWN	5
06-427	0.8314606741573034	Res	Pet	Pet	1	0	Pet	TENNESSEE SECONDARY SCHOOL ATHLETIC ASSOCIATION v. BRENTWOOD ACADEMY	9
06-43	0.5060240963855421	Res	Pet	Res	0	3	Res	STONERIDGE INVESTMENT PARTNERS, LLC v. SCIENTIFIC-ATLANTA, INC., ET AL	5
06-457	0.5060240963855421	Res	Pet	Res	0	0	Res	G. STEVEN ROWE, ATTORNEY GENERAL OF MAINE v. NEW HAMPSHIRE MOTOR TRANSPORT ASSOCIATION, et al.	9
06-480	0.6030534351145038	Pet	Pet	No	1	4	Pet	LEEGIN CREATIVE LEATHER PRODUCTS, INC. v. PSKS, INC., DBA KAY'S KLOSET . . . KAY'S SHOES	5
06-484	0.75	Pet	Pet	Pet	1	1	Pet	TELLABS, INC., et al. v. MAKOR ISSUES & RIGHTS, LTD., et al.	8
06-5247	0.5060240963855421	Res	Pet	Res	0	4	Res	JOHN FRANCIS FRY v. CHERYL K. PLILER, WARDEN	5
06-5306	0.2765957446808511	Pet	Res	Res	1	4	Res	KEITH BOWLES v. HARRY RUSSELL, WARDEN	5
06-531	0.8314606741573034	Res	Pet	Pet	1	0	Pet	MICHAEL W. SOLE, SECRETARY, FLORIDA DEPARTMENT OF ENVIRONMENTAL PROTECTION, et al. v. T. A. WYNER, et al.	9
06-5618	0.6030534351145038	Pet	Pet	No	0	0	Res	MARIO CLAIBORNE v. UNITED STATES	9
06-562	0.2765957446808511	Pet	Res	Res	1	0	Res	UNITED STATES v. ATLANTIC RESEARCH CORPORATION	9
06-571	0.7528735632183908	Res	Pet	No	1	0	Pet	MICHAEL A. WATSON v. UNITED STATES	9
06-5754	0.7528735632183908	Res	Pet	No	0	1	Res	VICTOR A. RITA v. UNITED STATES	8
06-593	0.8314606741573034	Res	Pet	Pet	1	0	Pet	LONG ISLAND CARE AT HOME, LTD., et al. v. EVELYN COKE	9
06-618	0.2765957446808511	Pet	Res	Res	1	0	Res	OFFICE OF SENATOR MARK DAYTON v. BRAD HANSON	8
06-6330	0.7528735632183908	Res	Pet	No	1	2	Pet	DERRICK KIMBROUGH v. UNITED STATES	7
06-637	0.5060240963855421	Res	Pet	Res	0	4	Res	BOARD OF EDUCATION OF THE CITY SCHOOL DISTRICT OF THE CITY OF NEW YORK v. TOM F., ON BEHALF OF GILBERT F., A MINOR CHILD	4
06-6407	0.6030534351145038	Pet	Pet	No	1	4	Pet	SCOTT LOUIS PANETTI v. NATHANIEL QUARTERMAN, DIRECTOR, TEXAS DEPARTMENT OF CRIMINAL JUSTICE, CORRECTIONAL INSTITUTIONS DIVISION	5
06-666	0.7528735632183908	Res	Pet	No	1	2	Pet	DEPARTMENT OF REVENUE OF KENTUCKY, et al. v. GEORGE W. DAVIS, ET UX	7
06-6911	0.6030534351145038	Pet	Pet	No	0	0	Res	JAMES D. LOGAN v. UNITED STATES	9
06-694	0.6030534351145038	Pet	Pet	No	1	2	Pet	UNITED STATES v. MICHAEL WILLIAMS	7
06-713	0.7528735632183908	Res	Pet	No	1	2	Pet	WASHINGTON STATE GRANGE v. WASHINGTON STATE REPUBLICAN PARTY, et al.	7
06-7517	0.5060240963855421	Res	Pet	Res	0	4	Res	IRIZARRY v. UNITED STATES	5
06-766	0.8314606741573034	Res	Pet	Pet	1	0	Pet	NEW YORK STATE BOARD OF ELECTIONS, et al. v. MARGARITA LOPEZ TORRES ET AL	9
06-7949	0.6030534351145038	Pet	Pet	No	1	2	Pet	BRIAN MICHAEL GALL v. UNITED STATES	7
06-8120	0.6030534351145038	Pet	Pet	No	1	0	Pet	BRUCE EDWARD BRENDLIN v. CALIFORNIA	9
06-8273	0.6030534351145038	Pet	Pet	No	1	2	Pet	STEPHEN DANFORTH v. MINNESOTA	7
06-84	0.75	Pet	Pet	Pet	1	0	Pet	SAFECO INSURANCE COMPANY OF AMERICA, et al. v. CHARLES BURR, et al.	9
06-856	0.8314606741573034	Res	Pet	Pet	1	0	Pet	JAMES LARUE v. DEWOLFF, BOBERG & ASSOCIATES, INC., ET AL	9
06-9130	0.7528735632183908	Res	Pet	No	0	4	Res	ABDUS-SHAHID M. S. ALI v. FEDERAL BUREAU OF PRISONS ET AL	5
06-923	0.2765957446808511	Pet	Res	Res	1	3	Res	METRO. LIFE INS. CO. v. GLENN	6
